composition,income,cum_sum,perc_sum
1 adult,15047,11288,0.22
1 adult,15099,11303,0.22
1 adult,15100,11318,0.22
1 adult,15115,11338,0.22
1 adult,15117,11345,0.22
1 adult,15152,11372,0.22
1 adult,15152,11395,0.22
1 adult,15190,11415,0.22
1 adult,15200,11437,0.22
1 adult,15300,11453,0.22
1 adult,15300,11470,0.23
1 adult,15306,11482,0.23
1 adult,15306,11501,0.23
1 adult,15320,11535,0.23
1 adult,15320,11543,0.23
1 adult,15320,11594,0.23
1 adult,15320,11604,0.23
1 adult,15320,11623,0.23
1 adult,15320,11661,0.23
1 adult,15324,11669,0.23
1 adult,15400,11727,0.23
1 adult,15422,11734,0.23
1 adult,15422,11745,0.23
1 adult,15513,11759,0.23
1 adult,15513,11766,0.23
1 adult,15513,11814,0.23
1 adult,15513,11822,0.23
1 adult,15513,11840,0.23
1 adult,15513,11848,0.23
1 adult,15513,11864,0.23
1 adult,15513,11879,0.23
1 adult,15513,11889,0.23
1 adult,15513,11895,0.23
1 adult,15524,11913,0.23
1 adult,15531,11931,0.23
1 adult,15531,11939,0.23
1 adult,15531,11959,0.24
1 adult,15531,11988,0.24
1 adult,15531,11997,0.24
1 adult,15531,12009,0.24
1 adult,15531,12021,0.24
1 adult,15531,12029,0.24
1 adult,15531,12045,0.24
1 adult,15600,12059,0.24
1 adult,15626,12083,0.24
1 adult,15728,12094,0.24
1 adult,15728,12102,0.24
1 adult,15738,12116,0.24
1 adult,15783,12150,0.24
1 adult,15783,12168,0.24
1 adult,15783,12182,0.24
1 adult,15783,12219,0.24
1 adult,15783,12238,0.24
1 adult,15783,12261,0.24
1 adult,15823,12277,0.24
1 adult,15823,12288,0.24
1 adult,15888,12296,0.24
1 adult,15899,12317,0.24
1 adult,15900,12324,0.24
1 adult,15926,12378,0.24
1 adult,15926,12402,0.24
1 adult,15932,12418,0.24
1 adult,15932,12431,0.24
1 adult,15932,12439,0.25
1 adult,15994,12459,0.25
1 adult,16000,12472,0.25
1 adult,16000,12482,0.25
1 adult,16030,12497,0.25
1 adult,16034,12543,0.25
1 adult,16049,12554,0.25
1 adult,16049,12567,0.25
1 adult,16133,12580,0.25
1 adult,16133,12617,0.25
1 adult,16204,12625,0.25
1 adult,16204,12639,0.25
1 adult,16300,12655,0.25
1 adult,16341,12679,0.25
1 adult,16414,12710,0.25
1 adult,16414,12723,0.25
1 adult,16430,12736,0.25
1 adult,16440,12752,0.25
1 adult,16444,12804,0.25
1 adult,16463,12813,0.25
1 adult,16547,12824,0.25
1 adult,16547,12856,0.25
1 adult,16567,12873,0.25
1 adult,16567,12889,0.25
1 adult,16567,12900,0.25
1 adult,16630,12918,0.25
1 adult,16647,12930,0.25
1 adult,16650,12952,0.26
1 adult,16698,12972,0.26
1 adult,16700,12985,0.26
1 adult,16700,12993,0.26
1 adult,16700,13001,0.26
1 adult,16700,13014,0.26
1 adult,16754,13029,0.26
1 adult,16774,13040,0.26
1 adult,16800,13050,0.26
1 adult,16835,13075,0.26
1 adult,16835,13116,0.26
1 adult,16835,13136,0.26
1 adult,16835,13156,0.26
1 adult,16835,13168,0.26
1 adult,16835,13176,0.26
1 adult,16877,13197,0.26
1 adult,16877,13223,0.26
1 adult,16900,13247,0.26
1 adult,16900,13258,0.26
1 adult,16954,13268,0.26
1 adult,17000,13292,0.26
1 adult,17000,13313,0.26
1 adult,17000,13356,0.26
1 adult,17000,13365,0.26
1 adult,17000,13373,0.26
1 adult,17000,13384,0.26
1 adult,17046,13407,0.26
1 adult,17056,13426,0.27
1 adult,17150,13448,0.27
1 adult,17200,13472,0.27
1 adult,17246,13485,0.27
1 adult,17300,13497,0.27
1 adult,17362,13538,0.27
1 adult,17362,13571,0.27
1 adult,17362,13611,0.27
1 adult,17362,13632,0.27
1 adult,17374,13648,0.27
1 adult,17395,13666,0.27
1 adult,17395,13675,0.27
1 adult,17395,13708,0.27
1 adult,17467,13723,0.27
1 adult,17467,13737,0.27
1 adult,17467,13749,0.27
1 adult,17478,13759,0.27
1 adult,17581,13780,0.27
1 adult,17581,13789,0.27
1 adult,17602,13822,0.27
1 adult,17788,13842,0.27
1 adult,17880,13854,0.27
1 adult,17888,13881,0.27
1 adult,17888,13894,0.27
1 adult,17888,13907,0.27
1 adult,17888,13918,0.27
1 adult,17891,13934,0.27
1 adult,17891,13938,0.28
1 adult,17944,13949,0.28
1 adult,17975,13967,0.28
1 adult,17993,13983,0.28
1 adult,17993,14009,0.28
1 adult,17993,14019,0.28
1 adult,18000,14028,0.28
1 adult,18000,14046,0.28
1 adult,18000,14048,0.28
1 adult,18000,14057,0.28
1 adult,18078,14078,0.28
1 adult,18098,14089,0.28
1 adult,18100,14099,0.28
1 adult,18120,14111,0.28
1 adult,18179,14120,0.28
1 adult,18200,14131,0.28
1 adult,18202,14146,0.28
1 adult,18203,14169,0.28
1 adult,18203,14190,0.28
1 adult,18261,14200,0.28
1 adult,18305,14211,0.28
1 adult,18305,14225,0.28
1 adult,18305,14249,0.28
1 adult,18327,14263,0.28
1 adult,18383,14287,0.28
1 adult,18383,14295,0.28
1 adult,18383,14307,0.28
1 adult,18383,14325,0.29
1 adult,18383,14335,0.29
1 adult,18409,14347,0.29
1 adult,18409,14360,0.29
1 adult,18414,14432,0.29
1 adult,18414,14445,0.29
1 adult,18500,14451,0.29
1 adult,18500,14473,0.29
1 adult,18550,14486,0.29
1 adult,18600,14508,0.29
1 adult,18637,14532,0.29
1 adult,18637,14564,0.29
1 adult,18637,14600,0.29
1 adult,18637,14627,0.29
1 adult,18637,14645,0.29
1 adult,18658,14654,0.29
1 adult,18719,14663,0.29
1 adult,18741,14677,0.29
1 adult,18800,14683,0.29
1 adult,18822,14694,0.29
1 adult,18835,14712,0.29
1 adult,18926,14741,0.29
1 adult,18940,14776,0.29
1 adult,18940,14799,0.29
1 adult,18940,14816,0.29
1 adult,18940,14826,0.29
1 adult,18996,14833,0.29
1 adult,19000,14844,0.3
1 adult,19000,14867,0.3
1 adult,19000,14877,0.3
1 adult,19000,14892,0.3
1 adult,19000,14903,0.3
1 adult,19010,14915,0.3
1 adult,19098,14930,0.3
1 adult,19110,14943,0.3
1 adult,19132,14962,0.3
1 adult,19132,14980,0.3
1 adult,19134,14987,0.3
1 adult,19150,15010,0.3
1 adult,19150,15025,0.3
1 adult,19155,15037,0.3
1 adult,19197,15045,0.3
1 adult,19200,15056,0.3
1 adult,19200,15103,0.3
1 adult,19201,15109,0.3
1 adult,19236,15127,0.3
1 adult,19236,15174,0.3
1 adult,19259,15203,0.3
1 adult,19300,15211,0.3
1 adult,19300,15221,0.3
1 adult,19339,15235,0.3
1 adult,19339,15249,0.3
1 adult,19361,15262,0.3
1 adult,19400,15273,0.3
1 adult,19405,15284,0.31
1 adult,19405,15303,0.31
1 adult,19405,15331,0.31
1 adult,19405,15359,0.31
1 adult,19487,15375,0.31
1 adult,19500,15383,0.31
1 adult,19508,15393,0.31
1 adult,19571,15405,0.31
1 adult,19600,15417,0.31
1 adult,19650,15441,0.31
1 adult,19673,15455,0.31
1 adult,19673,15466,0.31
1 adult,19673,15485,0.31
1 adult,19673,15502,0.31
1 adult,19676,15515,0.31
1 adult,19700,15526,0.31
1 adult,19729,15540,0.31
1 adult,19782,15556,0.31
1 adult,19813,15567,0.31
1 adult,19856,15583,0.31
1 adult,19880,15596,0.31
1 adult,19880,15679,0.31
1 adult,19915,15697,0.31
1 adult,19992,15711,0.31
1 adult,20000,15723,0.31
1 adult,20000,15737,0.31
1 adult,20000,15758,0.31
1 adult,20018,15771,0.32
1 adult,20097,15778,0.32
1 adult,20202,15792,0.32
1 adult,20202,15799,0.32
1 adult,20222,15809,0.32
1 adult,20300,15825,0.32
1 adult,20300,15834,0.32
1 adult,20300,15841,0.32
1 adult,20308,15854,0.32
1 adult,20324,15891,0.32
1 adult,20373,15957,0.32
1 adult,20400,15969,0.32
1 adult,20426,15988,0.32
1 adult,20426,16000,0.32
1 adult,20426,16011,0.32
1 adult,20426,16028,0.32
1 adult,20426,16041,0.32
1 adult,20426,16076,0.32
1 adult,20426,16083,0.32
1 adult,20426,16099,0.32
1 adult,20426,16112,0.32
1 adult,20477,16133,0.32
1 adult,20500,16143,0.32
1 adult,20500,16155,0.32
1 adult,20501,16179,0.32
1 adult,20501,16187,0.32
1 adult,20623,16194,0.33
1 adult,20630,16208,0.33
1 adult,20684,16245,0.33
1 adult,20684,16260,0.33
1 adult,20684,16267,0.33
1 adult,20684,16308,0.33
1 adult,20684,16321,0.33
1 adult,20684,16356,0.33
1 adult,20684,16378,0.33
1 adult,20708,16401,0.33
1 adult,20708,16420,0.33
1 adult,20708,16446,0.33
1 adult,20708,16465,0.33
1 adult,20729,16558,0.33
1 adult,20835,16576,0.33
1 adult,20891,16592,0.33
1 adult,20900,16605,0.33
1 adult,20939,16618,0.33
1 adult,21000,16662,0.33
1 adult,21000,16700,0.33
1 adult,21000,16749,0.33
1 adult,21000,16771,0.33
1 adult,21039,16790,0.33
1 adult,21039,16800,0.33
1 adult,21044,16869,0.33
1 adult,21044,16883,0.33
1 adult,21097,16896,0.33
1 adult,21097,16915,0.34
1 adult,21122,16929,0.34
1 adult,21141,16946,0.34
1 adult,21243,16963,0.34
1 adult,21300,16975,0.34
1 adult,21304,16984,0.34
1 adult,21380,17000,0.34
1 adult,21433,17016,0.34
1 adult,21447,17034,0.34
1 adult,21447,17047,0.34
1 adult,21447,17057,0.34
1 adult,21511,17085,0.34
1 adult,21537,17100,0.34
1 adult,21615,17105,0.34
