FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2023,350,651.97,516.00,0.00,175.44
2023,351,682.93,516.00,0.00,206.40
2023,352,708.73,516.00,0.00,232.20
2023,353,528.00,528.00,0.00,40.39
2023,354,667.13,528.00,0.00,179.52
2023,355,698.81,528.00,0.00,211.20
2023,356,725.21,528.00,0.00,237.60
2023,357,528.00,528.00,0.00,40.39
2023,358,667.13,528.00,0.00,179.52
2023,359,698.81,528.00,0.00,211.20
2023,360,725.21,528.00,0.00,237.60
2023,361,540.00,540.00,0.00,41.31
2023,362,682.29,540.00,0.00,183.60
2023,363,714.69,540.00,0.00,216.00
2023,364,741.69,540.00,0.00,243.00
2023,365,540.00,540.00,0.00,41.31
2023,366,682.29,540.00,0.00,183.60
2023,367,714.69,540.00,0.00,216.00
2023,368,741.69,540.00,0.00,243.00
2023,369,552.00,552.00,0.00,42.23
2023,370,697.45,552.00,0.00,187.68
2023,371,730.57,552.00,0.00,220.80
2023,372,758.17,552.00,0.00,248.40
2023,373,552.00,552.00,0.00,42.23
2023,374,697.45,552.00,0.00,187.68
2023,375,730.57,552.00,0.00,220.80
2023,376,758.17,552.00,0.00,248.40
2023,377,564.00,564.00,0.00,43.15
2023,378,712.61,564.00,0.00,191.76
2023,379,746.45,564.00,0.00,225.60
2023,380,774.65,564.00,0.00,253.80
2023,381,564.00,564.00,0.00,43.15
2023,382,712.61,564.00,0.00,191.76
2023,383,746.45,564.00,0.00,225.60
2023,384,774.65,564.00,0.00,253.80
2023,385,576.00,576.00,0.00,44.06
2023,386,727.78,576.00,0.00,195.84
2023,387,762.34,576.00,0.00,230.40
2023,388,791.14,576.00,0.00,259.20
2023,389,576.00,576.00,0.00,44.06
2023,390,727.78,576.00,0.00,195.84
2023,391,762.34,576.00,0.00,230.40
2023,392,791.14,576.00,0.00,259.20
2023,393,588.00,588.00,0.00,44.98
2023,394,742.94,588.00,0.00,199.92
2023,395,778.22,588.00,0.00,235.20
2023,396,807.62,588.00,0.00,264.60
2023,397,588.00,588.00,0.00,44.98
2023,398,742.94,588.00,0.00,199.92
2023,399,778.22,588.00,0.00,235.20
2023,400,807.62,588.00,0.00,264.60
2023,401,600.00,600.00,0.00,45.90
2023,402,758.10,600.00,0.00,204.00
2023,403,794.10,600.00,0.00,240.00
2023,404,824.10,600.00,0.00,270.00
2023,405,600.00,600.00,0.00,45.90
2023,406,758.10,600.00,0.00,204.00
2023,407,794.10,600.00,0.00,240.00
2023,408,824.10,600.00,0.00,270.00
2023,409,612.00,612.00,0.00,46.82
2023,410,773.26,612.00,0.00,208.08
