size,income,cum_sum,grouping
1,45538,25325,group
1,45558,25337,group
1,45600,25363,group
1,45959,25459,group
1,46192,25480,group
1,46228,25491,group
1,46280,25512,group
1,46367,25524,group
1,46398,25559,group
1,46435,25562,group
1,46469,25579,group
1,46538,25606,group
1,46571,25616,group
1,46594,25693,group
1,46621,25712,group
1,46749,25752,group
1,46800,25771,group
1,46952,25806,group
1,47000,25830,group
1,47041,25842,group
1,47092,25864,group
1,47100,25872,group
1,47159,25884,group
1,47215,25905,group
1,47314,25933,group
1,47350,25974,group
1,47500,26011,group
1,47629,26024,group
1,47779,26040,group
1,48000,26060,group
1,48402,26100,group
1,48561,26113,group
1,48607,26129,group
1,48665,26150,group
1,48750,26157,group
1,48928,26179,group
1,48975,26193,group
1,49243,26211,group
1,49454,26235,group
1,49500,26249,group
1,49600,26265,group
1,49635,26291,group
1,49641,26315,group
1,49656,26322,group
1,49700,26392,group
1,49848,26416,group
1,50000,26443,group
1,50044,26452,group
1,50506,26575,group
1,50735,26609,group
1,50839,26621,group
1,50850,26642,group
1,51032,26691,group
1,51065,26801,group
1,51151,26865,group
1,51167,26874,group
1,51460,26891,group
1,51558,26920,group
1,51606,26949,group
1,51709,27061,group
1,51771,27088,group
1,51900,27102,group
1,52000,27195,group
1,52020,27207,group
1,52086,27239,group
1,52392,27260,group
1,52600,27292,group
1,52611,27376,group
1,52640,27391,group
1,52744,27451,group
1,52821,27457,group
1,53137,27479,group
1,53157,27499,group
1,53242,27516,group
1,53800,27550,group
1,53842,27618,group
1,53925,27632,group
1,53945,27648,group
1,54129,27670,group
1,54150,27699,group
1,54463,27724,group
1,54502,27742,group
1,54715,27751,group
1,55000,27813,group
1,55150,27884,group
1,55262,27897,group
1,55355,27912,group
1,55846,27934,group
1,56000,28004,group
1,56030,28019,group
1,56053,28039,group
1,56090,28061,group
1,56121,28080,group
1,56172,28185,group
1,56600,28204,group
1,56819,28225,group
1,56880,28265,group
1,56948,28288,group
1,56989,28310,group
1,57193,28356,group
1,57240,28362,group
1,57766,28372,group
1,58000,28385,group
1,58190,28409,group
1,58536,28434,group
1,58623,28464,group
1,59000,28507,group
1,59019,28528,group
1,59200,28542,group
1,59236,28553,group
1,59976,28585,group
1,59983,28599,group
1,60000,28677,group
1,60054,28696,group
1,60257,28701,group
1,60397,28731,group
1,60468,28754,group
1,60563,28772,group
1,60572,28785,group
1,60882,28797,group
1,60986,28817,group
1,61000,28829,group
1,61028,28897,group
1,61278,28965,group
1,61380,28977,group
1,61600,29011,group
1,61742,29035,group
1,61870,29061,group
1,62051,29165,group
1,62080,29243,group
1,62125,29367,group
1,62504,29394,group
1,62800,29407,group
1,63085,29437,group
1,63133,29480,group
1,63321,29498,group
1,63322,29510,group
1,63500,29543,group
1,64000,29555,group
1,64138,29567,group
1,64400,29580,group
1,64600,29595,group
1,65027,29607,group
1,65154,29630,group
